term,"dict_address","dict_adjective","dict_adverb","dict_first_name","dict_medical","dict_noun","dict_preposition","dict_pronoun","dict_surname","dict_verb","past_participle","past_tense",plural,"present_tense"
juiced,,,,,,,,,,juiced,,True,,
juices,,,,,,juices,,,,,,,True,
juicing,,,,,,,,,,juicing,,,,True
julia,,,,julia,,,,,,,,,,
julian,,,,julian,,,,,,,,,,
juliana,,,,juliana,,,,,,,,,,
julianna,,,,julianna,,,,,,,,,,
julie,,,,julie,,,,,,,,,,
julien,,,,julien,,,,,,,,,,
juliet,,,,juliet,,,,,,,,,,
julieta,,,,julieta,,,,,,,,,,
juliette,,,,juliette,,,,,,,,,,
julio,,,,julio,,,,,,,,,,
julissa,,,,julissa,,,,,,,,,,
julius,,,,julius,,,,,,,,,,
jump,,,,,,jump,,,,jump,,,,
jumped,,,,,,,,,,jumped,,True,,
jumping,,,,,,,,,,jumping,,,,True
jumps,,,,,,jumps,,,,,,,True,
junction,junction,,,,,,,,,,,,,
junctions,junctions,,,,,,,,,,,,,
junctn,junctn,,,,,,,,,,,,,
juncton,juncton,,,,,,,,,,,,,
june,,,,june,,,,,,,,,,
junior,,junior,,junior,,junior,,,,,,,,
juniors,,,,,,juniors,,,,,,,True,
juniper,,,,juniper,,,,,,,,,,
juries,,,,,,juries,,,,,,,True,
jurnee,,,,jurnee,,,,,,,,,,
jury,,,,,,jury,,,,jury,,,,
juryed,,,,,,,,,,juryed,,True,,
jurying,,,,,,,,,,jurying,,,,True
just,,just,just,,,,,,,,,,,
justice,,,,justice,,,,,,,,,,
justify,,,,,,,,,,justify,,,,
justifyed,,,,,,,,,,justifyed,,True,,
justifying,,,,,,,,,,justifying,,,,True
justin,,,,justin,,,,,,,,,,
kace,,,,kace,,,,,,,,,,
kade,,,,kade,,,,,,,,,,
kaden,,,,kaden,,,,,,,,,,
kadence,,,,kadence,,,,,,,,,,
kaelyn,,,,kaelyn,,,,,,,,,,
kai,,,,kai,,,,,,,,,,
kaia,,,,kaia,,,,,,,,,,
kaiden,,,,kaiden,,,,,,,,,,
kailani,,,,kailani,,,,,,,,,,
kailee,,,,kailee,,,,,,,,,,
kailey,,,,kailey,,,,,,,,,,
kailyn,,,,kailyn,,,,,,,,,,
kairi,,,,kairi,,,,,,,,,,
kairo,,,,kairo,,,,,,,,,,
kaiser,,,,kaiser,,,,,,,,,,
kaison,,,,kaison,,,,,,,,,,
kaitlyn,,,,kaitlyn,,,,,,,,,,
kaiya,,,,kaiya,,,,,,,,,,
kalani,,,,kalani,,,,,,,,,,
kaleb,,,,kaleb,,,,,,,,,,
kalel,,,,kalel,,,,,,,,,,
kali,,,,kali,,,,,,,,,,
kaliyah,,,,kaliyah,,,,,,,,,,
kallie,,,,kallie,,,,,,,,,,
kamari,,,,kamari,,,,,,,,,,
kamden,,,,kamden,,,,,,,,,,
kameron,,,,kameron,,,,,,,,,,
kamila,,,,kamila,,,,,,,,,,
kamryn,,,,kamryn,,,,,,,,,,
kane,,,,kane,,,,,kane,,,,,
kannon,,,,kannon,,,,,,,,,,
kara,,,,kara,,,,,,,,,,
kareem,,,,kareem,,,,,,,,,,
karen,,,,karen,,,,,,,,,,
karina,,,,karina,,,,,,,,,,
karla,,,,karla,,,,,,,,,,
karlee,,,,karlee,,,,,,,,,,
karlie,,,,karlie,,,,,,,,,,
karson,,,,karson,,,,,,,,,,
karsyn,,,,karsyn,,,,,,,,,,
karter,,,,karter,,,,,,,,,,
kase,,,,kase,,,,,,,,,,
kasen,,,,kasen,,,,,,,,,,
kash,,,,kash,,,,,,,,,,
kashton,,,,kashton,,,,,,,,,,
kason,,,,kason,,,,,,,,,,
kassandra,,,,kassandra,,,,,,,,,,
kassidy,,,,kassidy,,,,,,,,,,
katalina,,,,katalina,,,,,,,,,,
kate,,,,kate,,,,,,,,,,
katelyn,,,,katelyn,,,,,,,,,,
katherine,,,,katherine,,,,,,,,,,
kathleen,,,,kathleen,,,,,,,,,,
kathryn,,,,kathryn,,,,,,,,,,
katie,,,,katie,,,,,,,,,,
kaur,,,,,,,,,kaur,,,,,
kaya,,,,kaya,,,,,,,,,,
kayden,,,,kayden,,,,,,,,,,
kaydence,,,,kaydence,,,,,,,,,,
kayla,,,,kayla,,,,,,,,,,
kaylani,,,,kaylani,,,,,,,,,,
kaylee,,,,kaylee,,,,,,,,,,
kayleigh,,,,kayleigh,,,,,,,,,,
kaylie,,,,kaylie,,,,,,,,,,
kaylin,,,,kaylin,,,,,,,,,,
kaysen,,,,kaysen,,,,,,,,,,
kayson,,,,kayson,,,,,,,,,,
keagan,,,,keagan,,,,,,,,,,
keanu,,,,keanu,,,,,,,,,,
keaton,,,,keaton,,,,,,,,,,
keegan,,,,keegan,,,,,,,,,,
keenan,,,,keenan,,,,,,,,,,
keep,,,,,,keep,,,,keep,,,,
keeped,,,,,,,,,,keeped,,True,,
keeping,,,,,,,,,,keeping,,,,True
keeps,,,,,,keeps,,,,,,,True,
kehlani,,,,kehlani,,,,,,,,,,
keira,,,,keira,,,,,,,,,,
keith,,,,keith,,,,,keith,,,,,
kellan,,,,kellan,,,,,,,,,,
kellen,,,,kellen,,,,,,,,,,
keller,,,,,,,,,keller,,,,,
kelley,,,,,,,,,kelley,,,,,
kelly,,,,kelly,,,,,kelly,,,,,
kelsey,,,,kelsey,,,,,,,,,,
kelvin,,,,kelvin,,,,,,,,,,
kemp,,,,,,,,,kemp,,,,,
kendall,,,,kendall,,,,,,,,,,
kendra,,,,kendra,,,,,,,,,,
kendrick,,,,kendrick,,,,,,,,,,
kenia,,,,kenia,,,,,,,,,,
kenley,,,,kenley,,,,,,,,,,
kenna,,,,kenna,,,,,,,,,,
kennedi,,,,kennedi,,,,,,,,,,
kennedy,,,,kennedy,,,,,kennedy,,,,,
kenneth,,,,kenneth,,,,,,,,,,
kenny,,,,kenny,,,,,,,,,,
kensley,,,,kensley,,,,,,,,,,
kent,,,,,,,,,kent,,,,,
kenya,,,,kenya,,,,,,,,,,
kenzie,,,,kenzie,,,,,,,,,,
kept,,,,,,,,,,kept,True,,,
kerr,,,,,,,,,kerr,,,,,
kevin,,,,kevin,,,,,,,,,,
key,key,key,,,,key,,,,,,,,
keyla,,,,keyla,,,,,,,,,,
keys,keys,,,,,keys,,,,,,,True,
khaleesi,,,,khaleesi,,,,,,,,,,
khalid,,,,khalid,,,,,,,,,,
khalil,,,,khalil,,,,,,,,,,
khan,,,,,,,,,khan,,,,,
khari,,,,khari,,,,,,,,,,
khloe,,,,khloe,,,,,,,,,,
kian,,,,kian,,,,,,,,,,
kiana,,,,kiana,,,,,,,,,,
kiara,,,,kiara,,,,,,,,,,
kick,,,,,,kick,,,,kick,,,,
kicked,,,,,,,,,,kicked,,True,,
kicking,,,,,,,,,,kicking,,,,True
kicks,,,,,,kicks,,,,,,,True,
kid,,,,,,kid,,,,kid,,,,
kided,,,,,,,,,,kided,,True,,
kiding,,,,,,,,,,kiding,,,,True
kids,,,,,,kids,,,,,,,True,
kiera,,,,kiera,,,,,,,,,,
kieran,,,,kieran,,,,,,,,,,
kill,,,,,,kill,,,,kill,,,,
killed,,,,,,,,,,killed,,True,,
killian,,,,killian,,,,,,,,,,
killing,,,,,,,,,,killing,,,,True
kills,,,,,,kills,,,,,,,True,
kim,,,,,,,,,kim,,,,,
kimber,,,,kimber,,,,,,,,,,
kimberly,,,,kimberly,,,,,,,,,,
kimora,,,,kimora,,,,,,,,,,
kind,,kind,,,,kind,,,,,,,,
kindergarten,,,,,,kindergarten,,,,,,,,
kinds,,,,,,kinds,,,,,,,True,
king,,,,king,,king,,,king,,,,,
kings,,,,,,kings,,,,,,,True,
kingsley,,,,kingsley,,,,,,,,,,
kingston,,,,kingston,,,,,,,,,,
kinley,,,,kinley,,,,,,,,,,
kinslee,,,,kinslee,,,,,,,,,,
kinsley,,,,kinsley,,,,,,,,,,
kira,,,,kira,,,,,,,,,,
kirby,,,,,,,,,kirby,,,,,
kirk,,,,,,,,,kirk,,,,,
kiss,,,,,,kiss,,,,kiss,,,,
kissed,,,,,,,,,,kissed,,True,,
kisses,,,,,,kisses,,,,,,,True,
kissing,,,,,,,,,,kissing,,,,True
kitchen,,kitchen,,,,kitchen,,,,,,,,
kitchens,,,,,,kitchens,,,,,,,True,
klein,,,,,,,,,klein,,,,,
kline,,,,,,,,,kline,,,,,
knapp,,,,,,,,,knapp,,,,,
knee,,,,,,knee,,,,knee,,,,
kneed,,,,,,,,,,kneed,,True,,
kneeing,,,,,,,,,,kneeing,,,,True
knees,,,,,,knees,,,,,,,True,
knew,,,,,,,,,,knew,,True,,
knife,,,,,,knife,,,,knife,,,,
knifed,,,,,,,,,,knifed,,True,,
knifes,,,,,,knifes,,,,,,,True,
knifing,,,,,,,,,,knifing,,,,True
knight,,,,,,,,,knight,,,,,
knl,knl,,,,,,,,,,,,,
knls,knls,,,,,,,,,,,,,
knol,knol,,,,,,,,,,,,,
knoll,knoll,,,,,,,,,,,,,
knolls,knolls,,,,,,,,,,,,,
know,,,,,,,,,,know,,,,
knowed,,,,,,,,,,knowed,,True,,
knowing,,,,,,,,,,knowing,,,,True
knowledge,,,,,,knowledge,,,,,,,,
knowledges,,,,,,knowledges,,,,,,,True,
known,,known,,,,,,,,known,True,,,
knox,,,,knox,,,,,knox,,,,,
koa,,,,koa,,,,,,,,,,
kobe,,,,kobe,,,,,,,,,,
koch,,,,,,,,,koch,,,,,
koda,,,,koda,,,,,,,,,,
kody,,,,kody,,,,,,,,,,
kohen,,,,kohen,,,,,,,,,,
kole,,,,kole,,,,,,,,,,
kolten,,,,kolten,,,,,,,,,,
kolton,,,,kolton,,,,,,,,,,
konnor,,,,konnor,,,,,,,,,,
kora,,,,kora,,,,,,,,,,
korbin,,,,korbin,,,,,,,,,,
kori,,,,kori,,,,,,,,,,
kramer,,,,,,,,,kramer,,,,,
kristian,,,,kristian,,,,,,,,,,
kristina,,,,kristina,,,,,,,,,,
kristopher,,,,kristopher,,,,,,,,,,
krueger,,,,,,,,,krueger,,,,,
ky,ky,,,,,,,,,,,,,
kye,,,,kye,,,,,,,,,,
kyla,,,,kyla,,,,,,,,,,
kylan,,,,kylan,,,,,,,,,,
kyle,,,,kyle,,,,,,,,,,
kylee,,,,kylee,,,,,,,,,,
kyleigh,,,,kyleigh,,,,,,,,,,
kylen,,,,kylen,,,,,,,,,,
kyler,,,,kyler,,,,,,,,,,
kylie,,,,kylie,,,,,,,,,,
kyng,,,,kyng,,,,,,,,,,
kynlee,,,,kynlee,,,,,,,,,,
kyra,,,,kyra,,,,,,,,,,
kyree,,,,kyree,,,,,,,,,,
kyrie,,,,kyrie,,,,,,,,,,
kys,kys,,,,,,,,,,,,,
kyson,,,,kyson,,,,,,,,,,
lab,,,,,,lab,,,,,,,,
labs,,,,,,labs,,,,,,,True,
lacey,,,,lacey,,,,,,,,,,
lachlan,,,,lachlan,,,,,,,,,,
lack,,,,,,lack,,,,lack,,,,
lacked,,,,,,,,,,lacked,,True,,
lacking,,,,,,,,,,lacking,,,,True
lacks,,,,,,lacks,,,,,,,True,
ladder,,,,,,ladder,,,,,,,,
ladders,,,,,,ladders,,,,,,,True,
ladies,,,,,,ladies,,,,,,,True,
lady,,,,,,lady,,,,,,,,
laid,,,,,,,,,,laid,True,,,
laila,,,,laila,,,,,,,,,,
lailah,,,,lailah,,,,,,,,,,
lain,,,,,,,,,,lain,True,,,
lainey,,,,lainey,,,,,,,,,,
lake,lake,,,,,lake,,,,,,,,
lakes,lakes,,,,,lakes,,,,,,,True,
lam,,,,,,,,,lam,,,,,
lamar,,,,lamar,,,,,,,,,,
lamb,,,,,,,,,lamb,,,,,
lambert,,,,,,,,,lambert,,,,,
lana,,,,lana,,,,,,,,,,
lance,,,,lance,,,,,,,,,,
land,land,,,,,land,,,,land,,,,
landed,,,,,,,,,,landed,,True,,
landen,,,,landen,,,,,,,,,,
landing,landing,,,,,,,,,landing,,,,True
landon,,,,landon,,,,,,,,,,
landry,,,,landry,,,,,landry,,,,,
lands,,,,,,lands,,,,,,,True,
landscape,,,,,,landscape,,,,landscape,,,,
landscaped,,,,,,,,,,landscaped,,True,,
landscapes,,,,,,landscapes,,,,,,,True,
landscaping,,,,,,,,,,landscaping,,,,True
landyn,,,,landyn,,,,,,,,,,
lane,lane,,,lane,,,,,lane,,,,,
laney,,,,laney,,,,,,,,,,
lang,,,,,,,,,lang,,,,,
langston,,,,langston,,,,,,,,,,
language,,,,,,language,,,,,,,,
languages,,,,,,languages,,,,,,,True,
lara,,,,lara,,,,,lara,,,,,
large,,large,,,,,,,,,,,,
larry,,,,larry,,,,,,,,,,
larsen,,,,,,,,,larsen,,,,,
larson,,,,,,,,,larson,,,,,
last,,last,last,,,,,,,,,,,
late,,late,late,,,,,,,,,,,
later,,,later,,,,,,,,,,,
latter,,latter,,,,,,,,,,,,
laugh,,,,,,laugh,,,,laugh,,,,
laughed,,,,,,,,,,laughed,,True,,
laughing,,,,,,,,,,laughing,,,,True
laughs,,,,,,laughs,,,,,,,True,
laura,,,,laura,,,,,,,,,,
laurel,,,,laurel,,,,,,,,,,
lauren,,,,lauren,,,,,,,,,,
lauryn,,,,lauryn,,,,,,,,,,
law,,,,,,law,,,,,,,,
lawrence,,,,lawrence,,,,,lawrence,,,,,
laws,,,,,,laws,,,,,,,True,
lawson,,,,lawson,,,,,lawson,,,,,
lawyer,,,,,,lawyer,,,,lawyer,,,,
lawyered,,,,,,,,,,lawyered,,True,,
lawyering,,,,,,,,,,lawyering,,,,True
lawyers,,,,,,lawyers,,,,,,,True,
lay,,,,,,lay,,,,lay,,True,,
layer,,,,,,layer,,,,layer,,,,
layered,,,,,,,,,,layered,,True,,
layering,,,,,,,,,,layering,,,,True
layers,,,,,,layers,,,,,,,True,
layla,,,,layla,,,,,,,,,,
laylah,,,,laylah,,,,,,,,,,
layne,,,,layne,,,,,,,,,,
lays,,,,,,lays,,,,,,,True,
layton,,,,layton,,,,,,,,,,
lck,lck,,,,,,,,,,,,,
lcks,lcks,,,,,,,,,,,,,
ldg,ldg,,,,,,,,,,,,,
ldge,ldge,,,,,,,,,,,,,
le,,,,,,,,,le,,,,,
lea,,,,lea,,,,,,,,,,
leach,,,,,,,,,leach,,,,,
lead,,,,,,lead,,,,lead,,,,
leaded,,,,,,,,,,leaded,,True,,
leader,,,,,,leader,,,,,,,,
leaders,,,,,,leaders,,,,,,,True,
leadership,,,,,,leadership,,,,,,,,
leaderships,,,,,,leaderships,,,,,,,True,
leading,,leading,,,,leading,,,,leading,,,,True
leadings,,,,,,leadings,,,,,,,True,
leads,,,,,,leads,,,,,,,True,
league,,,,,,league,,,,league,,,,
leagued,,,,,,,,,,leagued,,True,,
leagues,,,,,,leagues,,,,,,,True,
leaguing,,,,,,,,,,leaguing,,,,True
leah,,,,leah,,,,,,,,,,
leal,,,,,,,,,leal,,,,,
leandro,,,,leandro,,,,,,,,,,
leanna,,,,leanna,,,,,,,,,,
learn,,,,,,,,,,learn,,,,
learned,,,,,,,,,,learned,True,True,,
learning,,,,,,,,,,learning,,,,True
learnt,,,,,,,,,,learnt,,True,,
least,,least,least,,,,,,,,,,,
leather,,leather,,,,leather,,,,,,,,
leathers,,,,,,leathers,,,,,,,True,
leave,,,,,,leave,,,,leave,,,,
leaved,,,,,,,,,,leaved,,True,,
leaves,,,,,,leaves,,,,,,,True,
leaving,,,,,,,,,,leaving,,,,True
leblanc,,,,,,,,,leblanc,,,,,
lecture,,,,,,lecture,,,,lecture,,,,
lectured,,,,,,,,,,lectured,,True,,
lectures,,,,,,lectures,,,,,,,True,
lecturing,,,,,,,,,,lecturing,,,,True
led,,,,,,,,,,led,True,,,
ledger,,,,ledger,,,,,,,,,,
lee,,,,lee,,,,,lee,,,,,
left,,left,left,,,,,,,left,True,,,
leg,,,,,,leg,,,,leg,,,,
legacy,,,,legacy,,,,,,,,,,
legal,,legal,,,,,,,,,,,,
leged,,,,,,,,,,leged,,True,,
legend,,,,legend,,,,,,,,,,
leging,,,,,,,,,,leging,,,,True
legs,,,,,,legs,,,,,,,True,
leia,,,,leia,,,,,,,,,,
leif,,,,leif,,,,,,,,,,
leighton,,,,leighton,,,,,,,,,,
leila,,,,leila,,,,,,,,,,
leilani,,,,leilani,,,,,,,,,,
leland,,,,leland,,,,,,,,,,
lena,,,,lena,,,,,,,,,,
length,,,,,,length,,,,,,,,
lengths,,,,,,lengths,,,,,,,True,
lennon,,,,lennon,,,,,,,,,,
lennox,,,,lennox,,,,,,,,,,
leo,,,,leo,,,,,,,,,,
leon,,,,leon,,,,,leon,,,,,
leona,,,,leona,,,,,,,,,,
leonard,,,,leonard,,,,,leonard,,,,,
leonardo,,,,leonardo,,,,,,,,,,
leonel,,,,leonel,,,,,,,,,,
leonidas,,,,leonidas,,,,,,,,,,
leroy,,,,leroy,,,,,,,,,,
leslie,,,,leslie,,,,,,,,,,
less,,less,less,,,,,,,,,,,
lesson,,,,,,lesson,,,,lesson,,,,
lessoned,,,,,,,,,,lessoned,,True,,
lessoning,,,,,,,,,,lessoning,,,,True
lessons,,,,,,lessons,,,,,,,True,
lester,,,,,,,,,lester,,,,,
let,,,,,,let,,,,let,True,,,
lets,,,,,,lets,,,,,,,True,
letter,,,,,,letter,,,,letter,,,,
lettered,,,,,,,,,,lettered,,True,,
lettering,,,,,,,,,,lettering,,,,True
letters,,,,,,letters,,,,,,,True,
level,,level,,,,level,,,,,,,,
levels,,,,,,levels,,,,,,,True,
levi,,,,levi,,,,,,,,,,
levy,,,,,,,,,levy,,,,,
lewis,,,,lewis,,,,,lewis,,,,,
lexi,,,,lexi,,,,,,,,,,
lexie,,,,lexie,,,,,,,,,,
leyla,,,,leyla,,,,,,,,,,
lf,lf,,,,,,,,,,,,,
lgt,lgt,,,,,,,,,,,,,
lgts,lgts,,,,,,,,,,,,,
li,,,,,,,,,li,,,,,
lia,,,,lia,,,,,,,,,,
liam,,,,liam,,,,,,,,,,
liana,,,,liana,,,,,,,,,,
liberty,,,,liberty,,,,,,,,,,
libraries,,,,,,libraries,,,,,,,True,
library,,,,,,library,,,,,,,,
lie,,,,,,lie,,,,lie,,,,
lied,,,,,,,,,,lied,,True,,
lies,,,,,,lies,,,,,,,True,
life,,life,,,,life,,,,,,,,
lifes,,,,,,lifes,,,,,,,True,
lift,,,,,,lift,,,,lift,,,,
lifted,,,,,,,,,,lifted,,True,,
lifting,,,,,,,,,,lifting,,,,True
lifts,,,,,,lifts,,,,,,,True,
light,light,,,,,light,,,,light,,,,
lighted,,,,,,,,,,lighted,True,True,,
lighting,,,,,,,,,,lighting,,,,True
lights,lights,,,,,lights,,,,,,,True,
liing,,,,,,,,,,liing,,,,True
like,,,,,,,like,,,like,,,,
liked,,,,,,,,,,liked,,True,,
likely,,,likely,,,,,,,,,,,
liking,,,,,,,,,,liking,,,,True
lila,,,,lila,,,,,,,,,,
lilah,,,,lilah,,,,,,,,,,
lilian,,,,lilian,,,,,,,,,,
liliana,,,,liliana,,,,,,,,,,
lilianna,,,,lilianna,,,,,,,,,,
lilith,,,,lilith,,,,,,,,,,
lillian,,,,lillian,,,,,,,,,,
lilliana,,,,lilliana,,,,,,,,,,
lillianna,,,,lillianna,,,,,,,,,,
lillie,,,,lillie,,,,,,,,,,
lilly,,,,lilly,,,,,,,,,,
lily,,,,lily,,,,,,,,,,
lilyana,,,,lilyana,,,,,,,,,,
lim,,,,,,,,,lim,,,,,
limit,,,,,,limit,,,,limit,,,,
limited,,,,,,,,,,limited,,True,,
limiteded,,,,,,,,,,limiteded,,True,,
limiting,,,,,,,,,,limiting,,,,True
limits,,,,,,limits,,,,,,,True,
lin,,,,,,,,,lin,,,,,
lina,,,,lina,,,,,,,,,,
lincoln,,,,lincoln,,,,,,,,,,
linda,,,,linda,,,,,,,,,,
lindsey,,,,lindsey,,,,,lindsey,,,,,
line,,,,,,line,,,,line,,,,
lined,,,,,,,,,,lined,,True,,
lines,,,,,,lines,,,,,,,True,
lining,,,,,,,,,,lining,,,,True
link,,,,,,link,,,,link,,,,
linked,,,,,,,,,,linked,,True,,
linking,,,,,,,,,,linking,,,,True
links,,,,,,links,,,,,,,True,
lionel,,,,lionel,,,,,,,,,,
lip,,,,,,lip,,,,lip,,,,
liped,,,,,,,,,,liped,,True,,
liping,,,,,,,,,,liping,,,,True
lips,,,,,,lips,,,,,,,True,
lisa,,,,lisa,,,,,,,,,,
list,,,,,,list,,,,list,,,,
listed,,,,,,,,,,listed,,True,,
listen,,,,,,listen,,,,listen,,,,
listened,,,,,,,,,,listened,,True,,
listening,,,,,,,,,,listening,,,,True
listens,,,,,,listens,,,,,,,True,
listing,,,,,,,,,,listing,,,,True
lists,,,,,,lists,,,,,,,True,
lit,,,,,,,,,,lit,,True,,
literally,,,literally,,,,,,,,,,,
literature,,,,,,literature,,,,,,,,
literatures,,,,,,literatures,,,,,,,True,
little,,little,little,,,,,,little,,,,,
liu,,,,,,,,,liu,,,,,
liv,,,,liv,,,,,,,,,,
live,,live,,,,,,,,live,,,,
lived,,,,,,,,,,lived,,True,,
livia,,,,livia,,,,,,,,,,
living,,living,,,,living,,,,living,,,,True
livings,,,,,,livings,,,,,,,True,
livingston,,,,,,,,,livingston,,,,,
lizbeth,,,,lizbeth,,,,,,,,,,
lk,lk,,,,,,,,,,,,,
lks,lks,,,,,,,,,,,,,
lloyd,,,,,,,,,lloyd,,,,,
ln,ln,,,,,,,,,,,,,
lndg,lndg,,,,,,,,,,,,,
lndng,lndng,,,,,,,,,,,,,
load,,,,,,load,,,,load,,,,
loaded,,,,,,,,,,loaded,,True,,
loading,,,,,,,,,,loading,,,,True
loads,,,,,,loads,,,,,,,True,
loaf,loaf,,,,,,,,,,,,,
loan,,,,,,loan,,,,loan,,,,
loaned,,,,,,,,,,loaned,,True,,
loaning,,,,,,,,,,loaning,,,,True
loans,,,,,,loans,,,,,,,True,
local,,local,,,,local,,,,,,,,
locals,,,,,,locals,,,,,,,True,
location,,,,,,location,,,,,,,,
locations,,,,,,locations,,,,,,,True,
lochlan,,,,lochlan,,,,,,,,,,
lock,lock,,,,,lock,,,,lock,,,,
locked,,,,,,,,,,locked,,True,,
locking,,,,,,,,,,locking,,,,True
locks,locks,,,,,locks,,,,,,,True,
lodg,lodg,,,,,,,,,,,,,
lodge,lodge,,,,,,,,,,,,,
log,,,,,,log,,,,log,,,,
logan,,,,logan,,,,,logan,,,,,
loged,,,,,,,,,,loged,,True,,
logical,,logical,,,,,,,,,,,,
loging,,,,,,,,,,loging,,,,True
logo,,,,,,logo,,,,,,,,
logos,,,,,,logos,,,,,,,True,
logs,,,,,,logs,,,,,,,True,
lola,,,,lola,,,,,,,,,,
london,,,,london,,,,,,,,,,
londyn,,,,londyn,,,,,,,,,,
lonely,,lonely,,,,,,,,,,,,
long,,long,,,,long,,,long,,,,,
longs,,,,,,longs,,,,,,,True,
look,,,,,,look,,,,look,,,,
looked,,,,,,,,,,looked,,True,,
looking,,,,,,,,,,looking,,,,True
looks,,,,,,looks,,,,,,,True,
loop,loop,,,,,,,,,,,,,
loops,loops,,,,,,,,,,,,,
loose,,loose,,,,,,,,loose,,,,
loosed,,,,,,,,,,loosed,,True,,
loosing,,,,,,,,,,loosing,,,,True
lopez,,,,,,,,,lopez,,,,,
lorelai,,,,lorelai,,,,,,,,,,
lorelei,,,,lorelei,,,,,,,,,,
lorenzo,,,,lorenzo,,,,,,,,,,
lose,,,,,,,,,,lose,,,,
losed,,,,,,,,,,losed,,True,,
losing,,,,,,,,,,losing,,,,True
loss,,,,,,loss,,,,,,,,
losses,,,,,,losses,,,,,,,True,
lost,,lost,,,,,,,,lost,True,,,
lot,,,lot,,,,,lot,,,,,,
loud,,loud,loud,,,,,,,,,,,
louie,,,,louie,,,,,,,,,,
louis,,,,louis,,,,,,,,,,
louisa,,,,louisa,,,,,,,,,,
louise,,,,louise,,,,,,,,,,
love,,,,,,love,,,love,,,,,
loves,,,,,,loves,,,,,,,True,
low,,low,,,,low,,,,,,,,
lowe,,,,,,,,,lowe,,,,,
lower,,lower,lower,,,,,,,,,,,
lowery,,,,,,,,,lowery,,,,,
lows,,,,,,lows,,,,,,,True,
lozano,,,,,,,,,lozano,,,,,
lu,,,,,,,,,lu,,,,,
luca,,,,luca,,,,,,,,,,
lucas,,,,lucas,,,,,lucas,,,,,
lucca,,,,lucca,,,,,,,,,,
lucero,,,,,,,,,lucero,,,,,
lucia,,,,lucia,,,,,,,,,,
lucian,,,,lucian,,,,,,,,,,
luciana,,,,luciana,,,,,,,,,,
luciano,,,,luciano,,,,,,,,,,
lucille,,,,lucille,,,,,,,,,,
luck,,,,,,luck,,,,luck,,,,
lucked,,,,,,,,,,lucked,,True,,
lucking,,,,,,,,,,lucking,,,,True
lucks,,,,,,lucks,,,,,,,True,
lucky,,lucky,,,,,,,,,,,,
lucy,,,,lucy,,,,,,,,,,
luella,,,,luella,,,,,,,,,,
lugo,,,,,,,,,lugo,,,,,
luis,,,,luis,,,,,,,,,,
luka,,,,luka,,,,,,,,,,
lukas,,,,lukas,,,,,,,,,,
luke,,,,luke,,,,,,,,,,
luna,,,,luna,,,,,luna,,,,,
lunch,,,,,,lunch,,,,lunch,,,,
lunched,,,,,,,,,,lunched,,True,,
lunching,,,,,,,,,,lunching,,,,True
lunchs,,,,,,lunchs,,,,,,,True,
lyanna,,,,lyanna,,,,,,,,,,
lydia,,,,lydia,,,,,,,,,,
lyla,,,,lyla,,,,,,,,,,
lylah,,,,lylah,,,,,,,,,,
lyle,,,,lyle,,,,,,,,,,
lynch,,,,,,,,,lynch,,,,,
lynn,,,,,,,,,lynn,,,,,
lyons,,,,,,,,,lyons,,,,,
lyra,,,,lyra,,,,,,,,,,
lyric,,,,lyric,,,,,,,,,,
mabel,,,,mabel,,,,,,,,,,
macdonald,,,,,,,,,macdonald,,,,,
machine,,,,,,machine,,,,machine,,,,
machined,,,,,,,,,,machined,,True,,
machines,,,,,,machines,,,,,,,True,
machining,,,,,,,,,,machining,,,,True
maci,,,,maci,,,,,,,,,,
macias,,,,,,,,,macias,,,,,
macie,,,,macie,,,,,,,,,,
mack,,,,mack,,,,,mack,,,,,
mackenzie,,,,mackenzie,,,,,,,,,,
macy,,,,macy,,,,,,,,,,
mad,,mad,,,,,,,,,,,,
madalyn,,,,madalyn,,,,,,,,,,
madalynn,,,,madalynn,,,,,,,,,,
madden,,,,madden,,,,,madden,,,,,
maddison,,,,maddison,,,,,,,,,,
maddox,,,,maddox,,,,,maddox,,,,,
maddux,,,,maddux,,,,,,,,,,
made,,,,,,,,,,made,True,,,
madeleine,,,,madeleine,,,,,,,,,,
madeline,,,,madeline,,,,,,,,,,
madelyn,,,,madelyn,,,,,,,,,,
madelynn,,,,madelynn,,,,,,,,,,
madilyn,,,,madilyn,,,,,,,,,,
madilynn,,,,madilynn,,,,,,,,,,
madison,,,,madison,,,,,,,,,,
madisyn,,,,madisyn,,,,,,,,,,
mae,,,,mae,,,,,,,,,,
maeve,,,,maeve,,,,,,,,,,
magana,,,,,,,,,magana,,,,,
magazine,,,,,,magazine,,,,,,,,
magazines,,,,,,magazines,,,,,,,True,
magdalena,,,,magdalena,,,,,,,,,,
maggie,,,,maggie,,,,,,,,,,
magnolia,,,,magnolia,,,,,,,,,,
magnus,,,,magnus,,,,,,,,,,
mahoney,,,,,,,,,mahoney,,,,,
maia,,,,maia,,,,,,,,,,
mail,,,,,,mail,,,,mail,,,,
mailed,,,,,,,,,,mailed,,True,,
mailing,,,,,,,,,,mailing,,,,True
mails,,,,,,mails,,,,,,,True,
main,,main,,,,main,,,,,,,,
mainly,,,mainly,,,,,,,,,,,
mains,,,,,,mains,,,,,,,True,
maintain,,,,,,,,,,maintain,,,,
maintained,,,,,,,,,,maintained,,True,,
